id;active;name;description;short_description;meta_title;meta_description;meta_keywords;image_url
129;1;"FIRTS RACING ";;;"FIRTS RACING ";;;http://bubumotos.com/data/fabricante/1412415636_first_racing_logo.jpg
130;1;DAINESE;;;DAINESE;;;http://bubumotos.com/data/fabricante/1412932278_LOGO.jpg
131;1;EVOLUTION;;;EVOLUTION;;;http://bubumotos.com/data/fabricante/1414598512_logo_evo.jpg
132;1;SCHAMPA;;;SCHAMPA;;;http://bubumotos.com/data/fabricante/1416590679_schampa-logo-large.jpg
133;1;100%;;;100%;;;http://bubumotos.com/data/fabricante/1416591649_100_new_logo.jpg
134;1;"SKAFF TEAM";;;"SKAFF TEAM";;;http://bubumotos.com/data/fabricante/1421921976_logo_JPG.jpg
135;1;FULBAT;;;FULBAT;;;http://bubumotos.com/data/fabricante/1422612487_L_FULBAT_LOGO.jpg
136;1;BELL;;;BELL;;;http://bubumotos.com/data/fabricante/1425724637_LOGO.jpg
137;1;"FERVE, S.A.";;;"FERVE, S.A.";;;http://bubumotos.com/data/fabricante/1426930399_logo_blanc_petit.jpg
138;1;FR;;;FR;;;http://bubumotos.com/data/fabricante/1427450986_LOGO.jpg
139;1;REV´IT;;;REV´IT;;;http://bubumotos.com/data/fabricante/1427882060_LOGO.jpg
